frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Ball,0.0,0.0,3.5,0.0,0.0,0.0
2,0.04166667,B_Ball,0.0,0.0,3.49148438,0.0,0.0,0.0
3,0.08333333,B_Ball,0.0,0.0,3.4659375,0.0,0.0,0.0
4,0.125,B_Ball,0.0,0.0,3.42335937,0.0,0.0,0.0
5,0.16666667,B_Ball,0.0,0.0,3.36375,0.0,0.0,0.0
6,0.20833333,B_Ball,0.0,0.0,3.28710938,0.0,0.0,0.0
7,0.25,B_Ball,0.0,0.0,3.1934375,0.0,0.0,0.0
8,0.29166667,B_Ball,0.0,0.0,3.08273437,0.0,0.0,0.0
9,0.33333333,B_Ball,0.0,0.0,2.955,0.0,0.0,0.0
10,0.375,B_Ball,0.0,0.0,2.81023438,0.0,0.0,0.0
11,0.41666667,B_Ball,0.0,0.0,2.6484375,0.0,0.0,0.0
12,0.45833333,B_Ball,0.0,0.0,2.46960938,0.0,0.0,0.0
13,0.5,B_Ball,0.0,0.0,2.27375,0.0,0.0,0.0
14,0.54166667,B_Ball,0.0,0.0,2.06085938,0.0,0.0,0.0
15,0.58333333,B_Ball,0.0,0.0,1.8309375,0.0,0.0,0.0
16,0.625,B_Ball,0.0,0.0,1.58398437,0.0,0.0,0.0
17,0.66666667,B_Ball,0.0,0.0,1.32,0.0,0.0,0.0
18,0.70833333,B_Ball,0.0,0.0,1.03898437,0.0,0.0,0.0
19,0.75,B_Ball,0.0,0.0,0.7409375,0.0,0.0,0.0
20,0.79166667,B_Ball,0.0,0.0,0.44633965,0.0,0.0,0.0
21,0.83333333,B_Ball,0.0,0.0,0.58236081,0.0,0.0,0.0
22,0.875,B_Ball,0.0,0.0,0.70135073,0.0,0.0,0.0
23,0.91666667,B_Ball,0.0,0.0,0.8033094,0.0,0.0,0.0
24,0.95833333,B_Ball,0.0,0.0,0.88823681,0.0,0.0,0.0
25,1.0,B_Ball,0.0,0.0,0.95613298,0.0,0.0,0.0
26,1.04166667,B_Ball,0.0,0.0,1.00699789,0.0,0.0,0.0
27,1.08333333,B_Ball,0.0,0.0,1.04083156,0.0,0.0,0.0
28,1.125,B_Ball,0.0,0.0,1.05763397,0.0,0.0,0.0
29,1.16666667,B_Ball,0.0,0.0,1.05740514,0.0,0.0,0.0
30,1.20833333,B_Ball,0.0,0.0,1.04014505,0.0,0.0,0.0
31,1.25,B_Ball,0.0,0.0,1.00585372,0.0,0.0,0.0
32,1.29166667,B_Ball,0.0,0.0,0.95453114,0.0,0.0,0.0
33,1.33333333,B_Ball,0.0,0.0,0.8861773,0.0,0.0,0.0
34,1.375,B_Ball,0.0,0.0,0.80079222,0.0,0.0,0.0
35,1.41666667,B_Ball,0.0,0.0,0.69837588,0.0,0.0,0.0
36,1.45833333,B_Ball,0.0,0.0,0.5789283,0.0,0.0,0.0
37,1.5,B_Ball,0.0,0.0,0.44244946,0.0,0.0,0.0
38,1.54166667,B_Ball,0.0,0.0,0.49604288,0.0,0.0,0.0
39,1.58333333,B_Ball,0.0,0.0,0.53616029,0.0,0.0,0.0
40,1.625,B_Ball,0.0,0.0,0.55924645,0.0,0.0,0.0
41,1.66666667,B_Ball,0.0,0.0,0.56530136,0.0,0.0,0.0
42,1.70833333,B_Ball,0.0,0.0,0.55432502,0.0,0.0,0.0
43,1.75,B_Ball,0.0,0.0,0.52631743,0.0,0.0,0.0
44,1.79166667,B_Ball,0.0,0.0,0.48127859,0.0,0.0,0.0
45,1.83333333,B_Ball,0.0,0.0,0.44820119,0.0,0.0,0.0
46,1.875,B_Ball,0.0,0.0,0.46389628,0.0,0.0,0.0
47,1.91666667,B_Ball,0.0,0.0,0.46256013,0.0,0.0,0.0
48,1.95833333,B_Ball,0.0,0.0,0.44419272,0.0,0.0,0.0
49,2.0,B_Ball,0.0,0.0,0.44509912,0.0,0.0,0.0
50,2.04166667,B_Ball,0.0,0.0,0.44101768,0.0,0.0,0.0
51,2.08333333,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
52,2.125,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
53,2.16666667,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
54,2.20833333,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
55,2.25,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
56,2.29166667,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
57,2.33333333,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
58,2.375,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
59,2.41666667,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
60,2.45833333,B_Ball,0.0,0.0,0.44,0.0,0.0,0.0
