frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,B_Ball,0.0,0.0,4.8,0.0,0.0,0.0
2,0.04166667,B_Ball,0.0,0.0,4.79148437,0.0,0.0,0.0
3,0.08333333,B_Ball,0.0,0.0,4.7659375,0.0,0.0,0.0
4,0.125,B_Ball,0.0,0.0,4.72335938,0.0,0.0,0.0
5,0.16666667,B_Ball,0.0,0.0,4.66375,0.0,0.0,0.0
6,0.20833333,B_Ball,0.0,0.0,4.58710937,0.0,0.0,0.0
7,0.25,B_Ball,0.0,0.0,4.4934375,0.0,0.0,0.0
8,0.29166667,B_Ball,0.0,0.0,4.38273438,0.0,0.0,0.0
9,0.33333333,B_Ball,0.0,0.0,4.255,0.0,0.0,0.0
10,0.375,B_Ball,0.0,0.0,4.11023438,0.0,0.0,0.0
11,0.41666667,B_Ball,0.0,0.0,3.9484375,0.0,0.0,0.0
12,0.45833333,B_Ball,0.0,0.0,3.76960937,0.0,0.0,0.0
13,0.5,B_Ball,0.0,0.0,3.57375,0.0,0.0,0.0
14,0.54166667,B_Ball,0.0,0.0,3.36085937,0.0,0.0,0.0
15,0.58333333,B_Ball,0.0,0.0,3.1309375,0.0,0.0,0.0
16,0.625,B_Ball,0.0,0.0,2.88398437,0.0,0.0,0.0
17,0.66666667,B_Ball,0.0,0.0,2.62,0.0,0.0,0.0
18,0.70833333,B_Ball,0.0,0.0,2.33898437,0.0,0.0,0.0
19,0.75,B_Ball,0.0,0.0,2.0409375,0.0,0.0,0.0
20,0.79166667,B_Ball,0.0,0.0,1.72585937,0.0,0.0,0.0
21,0.83333333,B_Ball,0.0,0.0,1.39375,0.0,0.0,0.0
22,0.875,B_Ball,0.0,0.0,1.04460937,0.0,0.0,0.0
23,0.91666667,B_Ball,0.0,0.0,0.6784375,0.0,0.0,0.0
24,0.95833333,B_Ball,0.0,0.0,0.542198,0.0,0.0,0.0
25,1.0,B_Ball,0.0,0.0,0.80480552,0.0,0.0,0.0
26,1.04166667,B_Ball,0.0,0.0,1.05038179,0.0,0.0,0.0
27,1.08333333,B_Ball,0.0,0.0,1.27892681,0.0,0.0,0.0
28,1.125,B_Ball,0.0,0.0,1.49044059,0.0,0.0,0.0
29,1.16666667,B_Ball,0.0,0.0,1.68492311,0.0,0.0,0.0
30,1.20833333,B_Ball,0.0,0.0,1.86237438,0.0,0.0,0.0
31,1.25,B_Ball,0.0,0.0,2.0227944,0.0,0.0,0.0
32,1.29166667,B_Ball,0.0,0.0,2.16618317,0.0,0.0,0.0
33,1.33333333,B_Ball,0.0,0.0,2.29254069,0.0,0.0,0.0
34,1.375,B_Ball,0.0,0.0,2.40186697,0.0,0.0,0.0
35,1.41666667,B_Ball,0.0,0.0,2.49416199,0.0,0.0,0.0
36,1.45833333,B_Ball,0.0,0.0,2.56942576,0.0,0.0,0.0
37,1.5,B_Ball,0.0,0.0,2.62765828,0.0,0.0,0.0
38,1.54166667,B_Ball,0.0,0.0,2.66885955,0.0,0.0,0.0
39,1.58333333,B_Ball,0.0,0.0,2.69302957,0.0,0.0,0.0
40,1.625,B_Ball,0.0,0.0,2.70016835,0.0,0.0,0.0
41,1.66666667,B_Ball,0.0,0.0,2.69027587,0.0,0.0,0.0
42,1.70833333,B_Ball,0.0,0.0,2.66335214,0.0,0.0,0.0
43,1.75,B_Ball,0.0,0.0,2.61939716,0.0,0.0,0.0
44,1.79166667,B_Ball,0.0,0.0,2.55841093,0.0,0.0,0.0
45,1.83333333,B_Ball,0.0,0.0,2.48039345,0.0,0.0,0.0
46,1.875,B_Ball,0.0,0.0,2.38534473,0.0,0.0,0.0
47,1.91666667,B_Ball,0.0,0.0,2.27326475,0.0,0.0,0.0
48,1.95833333,B_Ball,0.0,0.0,2.14415352,0.0,0.0,0.0
49,2.0,B_Ball,0.0,0.0,1.99801104,0.0,0.0,0.0
50,2.04166667,B_Ball,0.0,0.0,1.83483731,0.0,0.0,0.0
51,2.08333333,B_Ball,0.0,0.0,1.65463233,0.0,0.0,0.0
52,2.125,B_Ball,0.0,0.0,1.45739611,0.0,0.0,0.0
53,2.16666667,B_Ball,0.0,0.0,1.24312863,0.0,0.0,0.0
54,2.20833333,B_Ball,0.0,0.0,1.0118299,0.0,0.0,0.0
55,2.25,B_Ball,0.0,0.0,0.76349992,0.0,0.0,0.0
56,2.29166667,B_Ball,0.0,0.0,0.49813869,0.0,0.0,0.0
57,2.33333333,B_Ball,0.0,0.0,0.59234237,0.0,0.0,0.0
58,2.375,B_Ball,0.0,0.0,0.77016481,0.0,0.0,0.0
59,2.41666667,B_Ball,0.0,0.0,0.93095599,0.0,0.0,0.0
60,2.45833333,B_Ball,0.0,0.0,1.07471593,0.0,0.0,0.0
61,2.5,B_Ball,0.0,0.0,1.20144462,0.0,0.0,0.0
62,2.54166667,B_Ball,0.0,0.0,1.31114206,0.0,0.0,0.0
63,2.58333333,B_Ball,0.0,0.0,1.40380824,0.0,0.0,0.0
64,2.625,B_Ball,0.0,0.0,1.47944318,0.0,0.0,0.0
65,2.66666667,B_Ball,0.0,0.0,1.53804687,0.0,0.0,0.0
66,2.70833333,B_Ball,0.0,0.0,1.5796193,0.0,0.0,0.0
67,2.75,B_Ball,0.0,0.0,1.60416049,0.0,0.0,0.0
68,2.79166667,B_Ball,0.0,0.0,1.61167043,0.0,0.0,0.0
69,2.83333333,B_Ball,0.0,0.0,1.60214912,0.0,0.0,0.0
70,2.875,B_Ball,0.0,0.0,1.57559655,0.0,0.0,0.0
71,2.91666667,B_Ball,0.0,0.0,1.53201274,0.0,0.0,0.0
72,2.95833333,B_Ball,0.0,0.0,1.47139768,0.0,0.0,0.0
73,3.0,B_Ball,0.0,0.0,1.39375137,0.0,0.0,0.0
74,3.04166667,B_Ball,0.0,0.0,1.2990738,0.0,0.0,0.0
75,3.08333333,B_Ball,0.0,0.0,1.18736499,0.0,0.0,0.0
76,3.125,B_Ball,0.0,0.0,1.05862493,0.0,0.0,0.0
