frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,E_Ball,-3.20000005,0.0,4.4000001,0.0,0.0,0.0
2,0.04166667,E_Ball,-3.20000005,0.0,4.39101171,0.0,0.0,0.0
3,0.08333333,E_Ball,-3.20000005,0.0,4.36499166,0.0,0.0,0.0
4,0.125,E_Ball,-3.20000005,0.0,4.32194042,0.0,0.0,0.0
5,0.16666667,E_Ball,-3.20000005,0.0,4.26185799,0.0,0.0,0.0
6,0.20833333,E_Ball,-3.20000005,0.0,4.18474436,0.0,0.0,0.0
7,0.25,E_Ball,-3.20000005,0.0,4.09059906,0.0,0.0,0.0
8,0.29166667,E_Ball,-3.20000005,0.0,3.97942257,0.0,0.0,0.0
9,0.33333333,E_Ball,-3.20000005,0.0,3.85121512,0.0,0.0,0.0
10,0.375,E_Ball,-3.20000005,0.0,3.70597649,0.0,0.0,0.0
11,0.41666667,E_Ball,-3.20000005,0.0,3.54370618,0.0,0.0,0.0
12,0.45833333,E_Ball,-3.20000005,0.0,3.36440468,0.0,0.0,0.0
13,0.5,E_Ball,-3.20000005,0.0,3.16807175,0.0,0.0,0.0
14,0.54166667,E_Ball,-3.20000005,0.0,2.95470762,0.0,0.0,0.0
15,0.58333333,E_Ball,-3.20000005,0.0,2.72431231,0.0,0.0,0.0
16,0.625,E_Ball,-3.20000005,0.0,2.47688556,0.0,0.0,0.0
17,0.66666667,E_Ball,-3.20000005,0.0,2.21242762,0.0,0.0,0.0
18,0.70833333,E_Ball,-3.20000005,0.0,1.93093801,0.0,0.0,0.0
19,0.75,E_Ball,-3.20000005,0.0,1.63241744,0.0,0.0,0.0
20,0.79166667,E_Ball,-3.20000005,0.0,1.31686544,0.0,0.0,0.0
21,0.83333333,E_Ball,-3.18531299,0.0,1.25889528,0.0,0.0,0.0
22,0.875,E_Ball,-3.16164517,0.0,1.35341954,0.0,0.0,0.0
23,0.91666667,E_Ball,-3.13797736,0.0,1.43091285,0.0,0.0,0.0
24,0.95833333,E_Ball,-3.11430955,0.0,1.49137485,0.0,0.0,0.0
25,1.0,E_Ball,-3.09064174,0.0,1.53480566,0.0,0.0,0.0
26,1.04166667,E_Ball,-3.06697392,0.0,1.56120515,0.0,0.0,0.0
27,1.08333333,E_Ball,-3.04330611,0.0,1.57057333,0.0,0.0,0.0
28,1.125,E_Ball,-3.0196383,0.0,1.5629102,0.0,0.0,0.0
29,1.16666667,E_Ball,-2.99597049,0.0,1.53821576,0.0,0.0,0.0
30,1.20833333,E_Ball,-2.97230268,0.0,1.49649024,0.0,0.0,0.0
31,1.25,E_Ball,-2.94863486,0.0,1.43773353,0.0,0.0,0.0
